1,11469,1633,Preferred,Manager
2,11469,1634,Preferred,Manager
3,11469,1632,Available,Manager
4,379,1522,Preferred,Manager
5,6468,1715,Preferred,Manager
6,2003,1632,Preferred,Manager
7,2003,1634,Available,Manager
8,6468,1633,Available,Coordinator
9,6468,1606,Preferred,Manager
10,16109,1715,Preferred,Coordinator
11,11893,1704,Preferred,Coordinator
12,7203,1620,Preferred,Manager
13,9143,1691,Preferred,Coordinator
14,14113,1666,Available,Coordinator
15,2611,1657,Preferred,Coordinator
16,2611,1634,Available,Manager
17,8546,1516,Available,Coordinator
18,2611,1510,Available,Manager
19,9143,1606,Preferred,Coordinator
20,8546,1510,Available,Coordinator
21,8546,1670,Preferred,Coordinator
22,13084,1620,Preferred,Coordinator
23,13084,1681,Available,Coordinator
24,14575,1715,Preferred,Coordinator
25,14575,1619,Available,Coordinator
26,12129,1516,Available,Manager
27,12129,1670,Available,Manager
28,705,1613,Preferred,Coordinator
29,12129,1591,Preferred,Manager
30,7049,1637,Preferred,Manager
31,7049,1549,Available,Coordinator
32,2496,1619,Preferred,Coordinator
33,2496,1510,Available,Coordinator
34,3560,1632,Preferred,Manager
35,3560,1579,Available,Coordinator
36,11893,1748,Available,Coordinator
37,19022,1599,Available,Coordinator
38,19022,1748,Preferred,Coordinator
39,14615,1666,Preferred,Manager
40,14615,1441,Available,Coordinator
41,14998,1425,Available,Coordinator
42,8662,1648,Preferred,Manager
43,14575,1717,Preferred,Coordinator
44,14575,1706,Available,Coordinator
45,8699,1775,Available,Coordinator
46,8699,1779,Available,Coordinator
47,8699,1700,Available,Manager
48,12129,1706,Available,Manager
49,12129,1736,Available,Manager
50,20259,1934,Preferred,Coordinator
51,19307,1650,Available,Coordinator
52,19307,1775,Available,Coordinator
53,19307,1586,Preferred,Coordinator
54,19307,1587,Preferred,Coordinator
55,19307,1751,Preferred,Coordinator
56,19307,1718,Preferred,Manager
57,19307,1719,Preferred,Manager
58,19307,1722,Preferred,Manager
59,19307,1680,Preferred,Manager
60,8285,1794,Preferred,Coordinator
61,8662,2021,Available,Manager
62,12795,1776,Preferred,Manager
63,7049,1706,Available,Manager
64,15688,1511,Preferred,Coordinator
65,13545,1590,Preferred,Coordinator
66,13084,1761,Preferred,Coordinator
67,11469,1793,Available,Coordinator
68,9701,1736,Available,Coordinator
69,705,1752,Available,Manager
70,7049,1511,Available,Manager
71,2496,1717,Preferred,Manager
72,7203,1629,Preferred,Manager
73,7049,1794,Available,Coordinator
74,11469,1736,Available,Coordinator
75,11469,1629,Available,Manager
76,11469,1687,Preferred,Manager
77,11469,1600,Available,Manager
78,15099,2059,Preferred,Manager
79,11469,1773,Available,Manager
80,9143,1773,Preferred,Coordinator
81,9143,1750,Preferred,Coordinator
82,1823,1629,Preferred,Coordinator
83,1823,1682,Available,Coordinator
84,8285,1687,Available,Coordinator
85,8099,1628,Available,Manager
86,8099,1682,Preferred,Manager
87,8099,1629,Available,Coordinator
88,2611,1621,Available,Coordinator
89,2611,1794,Preferred,Manager
90,8546,1629,Preferred,Coordinator
91,8546,1517,Preferred,Coordinator
92,8546,1682,Available,Coordinator
93,12129,1746,Available,Manager
94,14699,1824,Preferred,Coordinator
95,12948,1740,Preferred,Manager
96,1291,1706,Preferred,Coordinator
97,1041,1737,Available,Manager
98,1041,1621,Available,Manager
99,1041,1600,Available,Manager
100,13188,1736,Preferred,Coordinator
101,14247,1629,Preferred,Manager
102,14247,1621,Available,Manager
103,14738,1737,Preferred,Manager
104,6468,1935,Preferred,Manager
105,13084,1628,Available,Coordinator
106,13084,1629,Available,Coordinator
107,13084,1682,Preferred,Coordinator
108,16109,1716,Available,Coordinator
109,16109,1517,Available,Coordinator
110,6530,1720,Available,Manager
111,16109,1706,Available,Coordinator
112,6530,1721,Available,Manager
113,386,1706,Available,Coordinator
114,19307,1723,Preferred,Manager
115,17759,1772,Available,Coordinator
116,386,1630,Preferred,Coordinator
117,8285,1798,Available,Manager
118,8285,1774,Available,Coordinator
119,8699,1789,Available,Manager
120,6530,1846,Available,Manager
121,6530,1817,Available,Manager
122,6530,1765,Available,Manager
123,6530,1814,Available,Coordinator
124,6530,1848,Available,Manager
125,8662,1764,Available,Manager
126,15099,1923,Available,Coordinator
127,21093,1554,Preferred,\N
128,8285,1808,Available,Manager
129,19307,1856,Preferred,Manager
130,9143,1706,Preferred,Coordinator
131,17759,1837,Available,Coordinator
132,17759,1811,Available,Coordinator
133,17759,1843,Preferred,Coordinator
134,14247,1630,Preferred,Manager
135,14247,1624,Available,Manager
136,14247,1631,Available,Manager
137,2003,1824,Available,Manager
138,2003,1826,Available,Coordinator
139,2003,1749,Available,Manager
140,6468,1809,Available,Manager
141,6468,1826,Preferred,Manager
142,9701,1747,Available,Coordinator
143,7049,1689,Preferred,Manager
144,7049,1624,Available,Coordinator
145,7203,1631,Preferred,Manager
146,10443,1630,Available,Coordinator
147,10443,1826,Available,Coordinator
148,10443,1631,Preferred,Coordinator
149,10443,1512,Available,Coordinator
150,3560,1824,Preferred,Manager
151,19022,1825,Preferred,Coordinator
152,19022,1809,Preferred,Coordinator
153,19022,1798,Available,Coordinator
154,10095,1868,Preferred,Manager
155,10095,1690,Available,Manager
156,10095,1826,Available,Manager
157,1291,1689,Preferred,Coordinator
158,8285,1749,Preferred,Manager
159,8285,1690,Available,Coordinator
160,2611,1512,Available,Manager
161,3260,1798,Preferred,Coordinator
162,2611,1673,Available,Manager
163,3260,1624,Available,Coordinator
164,9357,1706,Available,Manager
165,9357,1624,Available,Manager
166,8099,1826,Preferred,Coordinator
167,7049,2088,Available,Manager
168,11469,1809,Preferred,Manager
169,14575,1785,Available,Coordinator
170,24583,1889,Available,Coordinator
171,14575,1798,Available,Coordinator
172,14575,1826,Available,Coordinator
173,16109,1690,Available,Coordinator
174,16109,1825,Available,Coordinator
175,16109,1673,Available,Coordinator
176,11893,1706,Available,Coordinator
177,11893,1825,Available,Coordinator
178,11893,1690,Available,Coordinator
179,11893,1826,Available,Coordinator
180,11893,1807,Available,Coordinator
181,11893,1863,Available,Coordinator
182,156,1639,Preferred,Coordinator
183,12795,1854,Available,Manager
184,17759,1876,Available,Coordinator
185,8662,1788,Available,Coordinator
186,8662,1860,Preferred,Coordinator
187,14247,1682,Available,Manager
188,1823,1690,Available,Coordinator
189,23369,2088,Available,Coordinator
190,19022,1826,Available,Coordinator
191,18781,1763,Preferred,Manager
192,2611,1749,Available,Coordinator
193,15688,1690,Preferred,Coordinator
194,15688,1826,Preferred,Coordinator
195,18460,1879,Available,Coordinator
196,14575,1867,Available,Coordinator
197,2496,1808,Available,Coordinator
198,2496,1868,Preferred,Coordinator
199,12948,1866,Preferred,Manager
200,23080,1924,Preferred,Coordinator
201,8662,1858,Available,Manager
202,8662,1894,Available,Manager
203,8662,1899,Available,Manager
204,8662,1680,Available,Coordinator
205,8662,1859,Available,Manager
206,20259,1867,Available,Coordinator
207,1256,1863,Available,Coordinator
208,16320,1902,Available,Coordinator
209,21093,1652,Preferred,Coordinator
210,16320,1850,Available,Coordinator
211,16320,1851,Preferred,Coordinator
212,16320,1933,Preferred,Coordinator
213,13234,1767,Available,Coordinator
214,13234,1769,Available,Manager
215,13831,1837,Preferred,Manager
216,13831,1936,Preferred,Manager
217,15099,1850,Preferred,Manager
218,15099,1699,Available,Coordinator
219,21523,1820,Preferred,Coordinator
220,21093,1724,Available,\N
221,9357,1761,Available,Manager
222,16352,1891,Available,Coordinator
223,14248,1913,Preferred,Manager
224,14534,1394,Preferred,Coordinator
225,14615,1394,Preferred,Manager
226,6349,1892,Available,Coordinator
227,6349,1934,Available,Coordinator
228,14247,1640,Preferred,Manager
229,14247,1761,Available,Manager
230,6468,1807,Available,Manager
231,156,1640,Available,Coordinator
232,156,1513,Available,Coordinator
233,11784,1937,Preferred,Coordinator
234,11784,1639,Available,Coordinator
235,11784,1882,Available,Coordinator
236,14738,1878,Available,Coordinator
237,3260,1640,Preferred,Coordinator
238,3260,1761,Available,Coordinator
239,3260,1639,Available,Coordinator
240,9701,1773,Available,Coordinator
241,9701,1774,Preferred,Coordinator
242,9701,1941,Available,Coordinator
243,9701,1879,Available,Coordinator
244,10095,1513,Available,Manager
245,2611,1774,Available,Manager
246,2611,1807,Available,Coordinator
247,386,1640,Preferred,Coordinator
248,386,1639,Preferred,Coordinator
249,2496,1931,Available,Coordinator
250,12129,1952,Preferred,Manager
251,20259,1863,Available,Coordinator
252,20259,1941,Available,Coordinator
253,20259,1793,Available,Coordinator
254,20259,1930,Available,Coordinator
255,12129,1944,Available,Manager
256,8662,1835,Preferred,Manager
257,8662,1951,Preferred,Manager
258,8662,1950,Preferred,Manager
259,14575,2017,Preferred,Coordinator
260,8662,1918,Preferred,Manager
261,17920,1444,Available,Manager
262,17920,1843,Preferred,Manager
263,17920,1393,Preferred,Manager
264,17920,1811,Available,Manager
265,8099,1640,Preferred,Manager
