2611,11,9
11469,11,9
12637,12,9
12795,2,9
14197,5,9
15984,10,9
18315,11,9
19025,2,9
21332,2,9
23781,4,9
25374,2,9
30650,2,9
32933,2,9
36734,14,9
36821,12,9
41214,3,9
43969,3,9
44390,4,9
44742,5,9
47050,11,9
48481,4,9
49687,11,9
49711,5,9
50370,5,9
51010,9,9
55540,1,9
57163,2,9
57431,2,9
57997,2,9
59779,7,9
60067,2,9
67754,1,9
69556,9,9
70224,10,9
70802,9,9
72292,7,9
72432,4,9
82555,10,9
82655,12,9
83508,12,9
84358,12,9
84919,5,9
85119,1,9
86528,15,9
87012,15,9
87517,3,9
89221,9,9
89350,9,9
89374,12,9
89484,16,9
90961,9,9
91614,4,9
92945,16,9
93535,11,9
94210,16,9
94248,16,9
94309,16,9
94310,16,9
94603,16,9
95017,15,9
95265,12,9
97668,12,9
102665,1,9
102881,16,9
104299,15,9
106771,16,9
